release_id,hospital_id,hospital_name,application_name,version,previous_version,deployment_time,deployment_status,deployment_type,engineer,latency_ms,latency_baseline_ms,latency_change_percent,error_rate_percent,error_baseline_percent,error_change,service_availability_percent,availability_change,transaction_count,baseline_transaction_count,transaction_drop_percent,customer_impact_level,affected_hospitals_count,affected_workflows_count,risk_score,risk_level,recommendation,ground_truth_decision,baseline_decision_time_min,adviser_decision_time_min,case_tag
REL-2026-0011,HOSP-SMMC-02,St. Mary's Medical Center,Electronic Health Record Service,v2.1.1,v2.1.0,2026-08-23T15:30:32.820077,MONITORING,HOTFIX,David Kim (Clinical Systems Analyst),639.3,642.3,-0.5,0.78,0.52,0.26,99.99,0.09,17659,17608,-0.3,LOW,1,1,0,LOW,CONTINUE,CONTINUE,22.9,2.3,NORMAL_STABLE
REL-2026-0012,HOSP-LKH-03,Lakeside Hospital,Pharmacy Management Service,v2.8.8,v2.8.7,2026-06-29T20:25:01.694720,ROLLED_BACK,HOTFIX,Sarah Chen (Release Eng),285.3,269.2,6.0,0.66,0.54,0.12,99.95,0.05,31447,32579,3.5,LOW,1,0,0,LOW,CONTINUE,CONTINUE,21.6,3.2,NORMAL_STABLE
REL-2026-0013,HOSP-LKH-03,Lakeside Hospital,Electronic Health Record Service,v2.2.7,v2.2.6,2026-06-24T23:41:57.555784,PENDING_REVIEW,BLUE_GREEN,Dr. Alex Rivera (DevOps Lead),1482.1,546.3,171.3,3.64,0.19,3.45,97.49,-2.41,12763,26618,52.1,CRITICAL,3,3,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,95.4,4.0,CRITICAL_OUTAGE
REL-2026-0014,HOSP-GVH-05,Green Valley Hospital,Pharmacy Management Service,v3.2.5,v3.2.4,2026-09-04T12:04:50.008223,CONTINUED,BLUE_GREEN,Dr. Alex Rivera (DevOps Lead),616.2,582.5,5.8,0.11,0.11,0.0,99.97,0.07,29337,28194,-4.1,LOW,1,1,0,LOW,CONTINUE,CONTINUE,20.2,2.7,NORMAL_STABLE
REL-2026-0015,HOSP-GVH-05,Green Valley Hospital,Laboratory Application,v5.13.3,v5.13.2,2026-08-28T21:50:38.870080,CONTINUED,BLUE_GREEN,Elena Rostova (Platform Specialist),626.2,430.3,45.5,1.83,0.39,1.44,98.98,-0.92,31915,33306,4.2,MEDIUM,1,0,50,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,56.8,6.9,TRANSIENT_SPIKE
REL-2026-0016,HOSP-SMMC-02,St. Mary's Medical Center,Electronic Health Record Service,v3.13.2,v3.13.1,2026-08-12T08:06:52.408369,CONTINUED,HOTFIX,David Kim (Clinical Systems Analyst),891.3,800.1,11.4,0.36,0.41,-0.05,99.91,0.01,33729,33224,-1.5,LOW,1,0,0,LOW,CONTINUE,CONTINUE,27.5,4.3,NORMAL_STABLE
REL-2026-0017,HOSP-MCH-04,Metro Care Hospital,Pharmacy Management Service,v5.1.2,v5.1.1,2026-08-03T07:17:26.020878,MONITORING,BLUE_GREEN,Elena Rostova (Platform Specialist),904.1,372.4,142.8,13.69,0.65,13.04,97.13,-2.77,12326,19909,38.1,CRITICAL,2,1,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,109.7,4.7,CRITICAL_OUTAGE
REL-2026-0018,HOSP-GVH-05,Green Valley Hospital,Laboratory Application,v2.1.9,v2.1.8,2026-07-25T12:06:25.620471,MONITORING,ROLLING_BATCH,Dr. Alex Rivera (DevOps Lead),798.2,545.2,46.4,1.07,0.14,0.93,98.65,-1.25,17465,21640,19.3,HIGH,1,3,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,68.2,7.8,SERIOUS_DEGRADATION
REL-2026-0019,HOSP-MCH-04,Metro Care Hospital,Laboratory Application,v4.8.3,v4.8.2,2026-07-08T03:33:18.524604,MONITORING,FULL_UPGRADE,David Kim (Clinical Systems Analyst),363.3,372.6,-2.5,0.19,0.19,0.0,99.81,-0.09,26809,26151,-2.5,MEDIUM,1,0,0,LOW,CONTINUE,CONTINUE,21.9,3.4,NORMAL_STABLE
REL-2026-0020,HOSP-GVH-05,Green Valley Hospital,Electronic Health Record Service,v3.11.1,v3.11.0,2026-06-19T07:08:56.658266,ROLLED_BACK,ROLLING_BATCH,David Kim (Clinical Systems Analyst),295.1,302.5,-2.4,1.01,0.68,0.33,99.91,0.01,28914,28053,-3.1,LOW,1,0,0,LOW,CONTINUE,CONTINUE,26.9,2.3,NORMAL_STABLE
REL-2026-0021,HOSP-CGH-01,City General Hospital,Clinical Portal,v4.9.9,v4.9.8,2026-08-18T10:44:38.761965,ROLLED_BACK,BLUE_GREEN,David Kim (Clinical Systems Analyst),661.2,646.9,2.2,1.0,0.7,0.3,99.82,-0.08,22307,21561,-3.5,MEDIUM,1,1,0,LOW,CONTINUE,CONTINUE,25.3,2.1,NORMAL_STABLE
REL-2026-0022,HOSP-SMMC-02,St. Mary's Medical Center,Pharmacy Management Service,v2.3.1,v2.3.0,2026-06-13T09:07:42.772371,MONITORING,HOTFIX,David Kim (Clinical Systems Analyst),416.8,296.9,40.4,0.34,0.13,0.21,99.15,-0.75,14772,17098,13.6,LOW,1,0,55,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,62.0,5.1,TRANSIENT_SPIKE
REL-2026-0023,HOSP-LKH-03,Lakeside Hospital,Laboratory Application,v3.7.2,v3.7.1,2026-06-10T13:51:52.920710,PENDING_REVIEW,FULL_UPGRADE,Elena Rostova (Platform Specialist),1177.6,772.9,52.4,0.62,0.12,0.5,99.44,-0.46,26084,29135,10.5,HIGH,1,3,80,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),HUMAN REVIEW,59.3,5.3,TRANSIENT_SPIKE
REL-2026-0024,HOSP-SMMC-02,St. Mary's Medical Center,Electronic Health Record Service,v4.7.3,v4.7.2,2026-09-04T06:24:07.238829,ROLLED_BACK,ROLLING_BATCH,Elena Rostova (Platform Specialist),400.9,413.4,-3.0,0.89,0.71,0.18,100.0,0.1,30035,30340,1.0,LOW,1,1,0,LOW,CONTINUE,CONTINUE,27.0,2.3,NORMAL_STABLE
REL-2026-0025,HOSP-CGH-01,City General Hospital,Clinical Portal,v4.10.6,v4.10.5,2026-07-13T20:41:18.999699,ROLLED_BACK,HOTFIX,David Kim (Clinical Systems Analyst),410.4,450.4,-8.9,0.55,0.5,0.05,99.96,0.06,13372,13346,-0.2,LOW,1,1,0,LOW,CONTINUE,CONTINUE,17.8,2.2,NORMAL_STABLE
REL-2026-0026,HOSP-CGH-01,City General Hospital,Medical Device Integration Service,v5.10.6,v5.10.5,2026-07-05T16:13:14.012681,PENDING_REVIEW,ROLLING_BATCH,David Kim (Clinical Systems Analyst),347.2,324.7,6.9,0.82,0.57,0.25,99.86,-0.04,17624,17423,-1.2,LOW,1,1,0,LOW,CONTINUE,CONTINUE,16.9,2.5,NORMAL_STABLE
REL-2026-0027,HOSP-MCH-04,Metro Care Hospital,Electronic Health Record Service,v3.2.4,v3.2.3,2026-07-22T00:37:57.489346,PENDING_REVIEW,HOTFIX,David Kim (Clinical Systems Analyst),535.8,417.9,28.2,2.17,0.67,1.5,99.02,-0.88,27798,29613,6.1,LOW,1,0,0,LOW,CONTINUE,HUMAN REVIEW,42.3,5.9,TRANSIENT_SPIKE
REL-2026-0028,HOSP-MCH-04,Metro Care Hospital,Laboratory Application,v5.12.3,v5.12.2,2026-08-24T02:53:13.168670,CONTINUED,HOTFIX,Sarah Chen (Release Eng),965.3,780.2,23.7,2.59,0.7,1.89,99.67,-0.23,29569,34014,13.1,HIGH,1,1,50,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,48.9,6.2,TRANSIENT_SPIKE
REL-2026-0029,HOSP-MCH-04,Metro Care Hospital,Laboratory Application,v4.14.9,v4.14.8,2026-06-25T01:53:40.113715,PENDING_REVIEW,FULL_UPGRADE,David Kim (Clinical Systems Analyst),1011.0,477.4,111.8,9.27,0.73,8.54,97.94,-1.96,15403,19611,21.5,HIGH,1,3,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,87.8,5.1,SERIOUS_DEGRADATION
REL-2026-0030,HOSP-CGH-01,City General Hospital,Medical Device Integration Service,v4.10.8,v4.10.7,2026-08-30T03:31:34.904970,PENDING_REVIEW,ROLLING_BATCH,Sarah Chen (Release Eng),411.3,449.0,-8.4,0.23,0.21,0.02,99.88,-0.02,12061,12010,-0.4,LOW,1,0,0,LOW,CONTINUE,CONTINUE,25.3,3.0,NORMAL_STABLE
REL-2026-0031,HOSP-MCH-04,Metro Care Hospital,Clinical Portal,v5.13.8,v5.13.7,2026-07-01T03:36:25.905832,MONITORING,ROLLING_BATCH,Marcus Brody (Clinical SRE),573.3,592.1,-3.2,0.28,0.25,0.03,99.93,0.03,12054,12190,1.1,MEDIUM,1,0,0,LOW,CONTINUE,CONTINUE,23.6,4.1,NORMAL_STABLE
REL-2026-0032,HOSP-MCH-04,Metro Care Hospital,Laboratory Application,v2.13.2,v2.13.1,2026-06-20T09:57:41.215202,MONITORING,CANARY,David Kim (Clinical Systems Analyst),362.3,369.1,-1.8,0.44,0.33,0.11,99.95,0.05,19658,19899,1.2,MEDIUM,1,0,0,LOW,CONTINUE,CONTINUE,16.0,2.2,NORMAL_STABLE
REL-2026-0033,HOSP-LKH-03,Lakeside Hospital,Electronic Health Record Service,v2.7.3,v2.7.2,2026-06-22T21:35:54.406595,CONTINUED,CANARY,Dr. Alex Rivera (DevOps Lead),496.2,355.1,39.7,1.23,0.43,0.8,99.51,-0.39,8108,8748,7.3,LOW,1,0,30,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,53.2,7.4,TRANSIENT_SPIKE
REL-2026-0034,HOSP-LKH-03,Lakeside Hospital,Clinical Portal,v4.12.6,v4.12.5,2026-06-13T16:51:30.611399,ROLLED_BACK,CANARY,David Kim (Clinical Systems Analyst),541.3,584.9,-7.5,0.91,0.68,0.23,99.92,0.02,13410,12957,-3.5,LOW,1,0,0,LOW,CONTINUE,CONTINUE,24.7,3.4,NORMAL_STABLE
REL-2026-0035,HOSP-GVH-05,Green Valley Hospital,Pharmacy Management Service,v4.0.6,v4.0.5,2026-06-24T10:04:51.863772,PENDING_REVIEW,CANARY,Marcus Brody (Clinical SRE),836.8,824.5,1.5,0.49,0.54,-0.05,99.9,0.0,31113,32155,3.2,LOW,1,1,0,LOW,CONTINUE,CONTINUE,21.9,4.3,NORMAL_STABLE
REL-2026-0036,HOSP-GVH-05,Green Valley Hospital,Medical Device Integration Service,v2.8.7,v2.8.6,2026-08-15T10:59:32.496798,MONITORING,BLUE_GREEN,Marcus Brody (Clinical SRE),610.8,596.7,2.4,0.38,0.37,0.01,99.87,-0.03,5932,5940,0.1,LOW,1,1,0,LOW,CONTINUE,CONTINUE,17.4,4.2,NORMAL_STABLE
REL-2026-0037,HOSP-GVH-05,Green Valley Hospital,Electronic Health Record Service,v5.15.8,v5.15.7,2026-06-30T04:36:57.738869,ROLLED_BACK,BLUE_GREEN,Dr. Alex Rivera (DevOps Lead),747.5,619.8,20.6,1.4,0.44,0.96,99.09,-0.81,27712,30982,10.6,HIGH,1,3,50,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,52.4,5.9,TRANSIENT_SPIKE
REL-2026-0038,HOSP-LKH-03,Lakeside Hospital,Pharmacy Management Service,v4.7.1,v4.7.0,2026-07-03T12:14:26.354853,ROLLED_BACK,ROLLING_BATCH,Marcus Brody (Clinical SRE),646.2,682.9,-5.4,0.73,0.77,-0.04,99.94,0.04,27571,27615,0.2,LOW,1,1,0,LOW,CONTINUE,CONTINUE,27.7,4.1,NORMAL_STABLE
REL-2026-0039,HOSP-SMMC-02,St. Mary's Medical Center,Medical Device Integration Service,v3.8.0,v3.8.0,2026-06-10T17:59:26.769189,ROLLED_BACK,FULL_UPGRADE,Dr. Alex Rivera (DevOps Lead),710.9,653.3,8.8,0.17,0.19,-0.02,99.86,-0.04,31825,33457,4.9,MEDIUM,1,0,0,LOW,CONTINUE,CONTINUE,19.0,2.5,NORMAL_STABLE
REL-2026-0040,HOSP-MCH-04,Metro Care Hospital,Clinical Portal,v5.2.9,v5.2.8,2026-07-11T18:31:12.879006,PENDING_REVIEW,HOTFIX,Dr. Alex Rivera (DevOps Lead),273.6,297.0,-7.9,0.48,0.49,-0.01,99.88,-0.02,15042,14956,-0.6,LOW,1,1,0,LOW,CONTINUE,CONTINUE,24.4,3.0,NORMAL_STABLE
REL-2026-0041,HOSP-LKH-03,Lakeside Hospital,Laboratory Application,v2.6.3,v2.6.2,2026-08-13T14:07:21.147546,CONTINUED,CANARY,David Kim (Clinical Systems Analyst),320.5,355.9,-9.9,0.55,0.49,0.06,99.86,-0.04,10224,10129,-0.9,LOW,1,1,0,LOW,CONTINUE,CONTINUE,16.6,2.7,NORMAL_STABLE
REL-2026-0042,HOSP-LKH-03,Lakeside Hospital,Laboratory Application,v2.7.2,v2.7.1,2026-06-16T16:13:59.575026,MONITORING,HOTFIX,Sarah Chen (Release Eng),462.3,246.4,87.6,2.95,0.22,2.73,98.25,-1.65,13055,15079,13.4,CRITICAL,4,2,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,81.0,6.8,SERIOUS_DEGRADATION
REL-2026-0043,HOSP-GVH-05,Green Valley Hospital,Clinical Portal,v4.0.1,v4.0.0,2026-08-16T19:14:44.563081,PENDING_REVIEW,ROLLING_BATCH,Elena Rostova (Platform Specialist),1176.8,759.3,55.0,2.39,0.51,1.88,98.93,-0.97,4995,5679,12.0,LOW,1,1,75,HIGH,ROLLBACK RECOMMENDED,HUMAN REVIEW,49.1,6.5,TRANSIENT_SPIKE
REL-2026-0044,HOSP-MCH-04,Metro Care Hospital,Clinical Portal,v5.10.5,v5.10.4,2026-07-08T02:40:31.002467,PENDING_REVIEW,ROLLING_BATCH,Elena Rostova (Platform Specialist),799.8,414.4,93.0,5.67,0.59,5.08,97.56,-2.34,12088,14444,16.3,HIGH,1,2,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,64.2,5.3,SERIOUS_DEGRADATION
REL-2026-0045,HOSP-MCH-04,Metro Care Hospital,Clinical Portal,v4.15.7,v4.15.6,2026-06-30T00:40:26.249437,PENDING_REVIEW,FULL_UPGRADE,Sarah Chen (Release Eng),624.0,557.0,12.0,0.85,0.75,0.1,99.93,0.03,18444,19356,4.7,LOW,1,0,0,LOW,CONTINUE,CONTINUE,23.4,2.8,NORMAL_STABLE
REL-2026-0046,HOSP-CGH-01,City General Hospital,Electronic Health Record Service,v2.4.7,v2.4.6,2026-06-14T11:53:44.048920,ROLLED_BACK,HOTFIX,Dr. Alex Rivera (DevOps Lead),754.0,658.5,14.5,0.38,0.39,-0.01,99.88,-0.02,20916,20810,-0.5,LOW,1,1,0,LOW,CONTINUE,CONTINUE,25.8,2.7,NORMAL_STABLE
REL-2026-0047,HOSP-CGH-01,City General Hospital,Medical Device Integration Service,v5.4.7,v5.4.6,2026-07-19T22:41:53.009838,ROLLED_BACK,FULL_UPGRADE,Marcus Brody (Clinical SRE),633.1,558.7,13.3,0.68,0.48,0.2,99.85,-0.05,20877,19920,-4.8,MEDIUM,1,0,0,LOW,CONTINUE,CONTINUE,15.7,3.9,NORMAL_STABLE
REL-2026-0048,HOSP-MCH-04,Metro Care Hospital,Pharmacy Management Service,v5.1.2,v5.1.1,2026-07-23T05:02:48.956737,PENDING_REVIEW,BLUE_GREEN,Elena Rostova (Platform Specialist),707.8,765.3,-7.5,1.02,0.71,0.31,99.83,-0.07,18485,19427,4.8,LOW,1,1,0,LOW,CONTINUE,CONTINUE,13.2,4.0,NORMAL_STABLE
REL-2026-0049,HOSP-CGH-01,City General Hospital,Medical Device Integration Service,v4.15.8,v4.15.7,2026-09-03T03:59:14.528502,MONITORING,HOTFIX,David Kim (Clinical Systems Analyst),663.2,610.3,8.7,0.82,0.74,0.08,99.93,0.03,11953,12454,4.0,LOW,1,0,0,LOW,CONTINUE,CONTINUE,19.1,3.7,NORMAL_STABLE
REL-2026-0050,HOSP-LKH-03,Lakeside Hospital,Clinical Portal,v4.13.2,v4.13.1,2026-08-15T10:16:16.570206,MONITORING,ROLLING_BATCH,Marcus Brody (Clinical SRE),591.6,643.2,-8.0,0.32,0.23,0.09,99.85,-0.05,10864,10736,-1.2,LOW,1,1,0,LOW,CONTINUE,CONTINUE,15.7,3.6,NORMAL_STABLE
REL-2026-0051,HOSP-MCH-04,Metro Care Hospital,Medical Device Integration Service,v2.14.5,v2.14.4,2026-06-09T13:09:12.656228,MONITORING,BLUE_GREEN,David Kim (Clinical Systems Analyst),917.2,825.3,11.1,0.54,0.58,-0.04,99.9,0.0,19738,19969,1.2,LOW,1,1,0,LOW,CONTINUE,CONTINUE,18.1,2.9,NORMAL_STABLE
REL-2026-0052,HOSP-MCH-04,Metro Care Hospital,Medical Device Integration Service,v2.15.4,v2.15.3,2026-06-28T14:40:07.502314,ROLLED_BACK,FULL_UPGRADE,Dr. Alex Rivera (DevOps Lead),761.1,721.3,5.5,0.32,0.25,0.07,99.93,0.03,11478,11230,-2.2,LOW,1,0,0,LOW,CONTINUE,CONTINUE,22.1,4.3,NORMAL_STABLE
REL-2026-0053,HOSP-MCH-04,Metro Care Hospital,Clinical Portal,v3.2.4,v3.2.3,2026-08-08T00:06:24.959533,MONITORING,ROLLING_BATCH,David Kim (Clinical Systems Analyst),377.7,330.5,14.3,0.76,0.65,0.11,99.97,0.07,35113,33719,-4.1,LOW,1,1,0,LOW,CONTINUE,CONTINUE,26.6,4.4,NORMAL_STABLE
REL-2026-0054,HOSP-MCH-04,Metro Care Hospital,Clinical Portal,v5.11.1,v5.11.0,2026-06-27T06:24:40.159626,ROLLED_BACK,BLUE_GREEN,Sarah Chen (Release Eng),596.7,548.8,8.7,0.41,0.42,-0.01,99.93,0.03,26725,27047,1.2,LOW,1,0,0,LOW,CONTINUE,CONTINUE,13.7,2.6,NORMAL_STABLE
REL-2026-0055,HOSP-GVH-05,Green Valley Hospital,Electronic Health Record Service,v4.13.1,v4.13.0,2026-08-24T19:42:53.840306,ROLLED_BACK,HOTFIX,Dr. Alex Rivera (DevOps Lead),631.6,397.8,58.8,4.77,0.44,4.33,98.13,-1.77,6301,8184,23.0,CRITICAL,4,2,100,CRITICAL,ROLLBACK RECOMMENDED (HIGH IMPACT CONFIRMATION REQUIRED),ROLLBACK,76.4,6.9,SERIOUS_DEGRADATION
REL-2026-0056,HOSP-CGH-01,City General Hospital,Medical Device Integration Service,v5.7.5,v5.7.4,2026-08-28T10:59:12.808078,MONITORING,HOTFIX,Sarah Chen (Release Eng),676.4,553.9,22.1,2.42,0.78,1.64,99.66,-0.24,16024,16753,4.4,MEDIUM,1,0,0,LOW,CONTINUE,HUMAN REVIEW,37.8,5.1,TRANSIENT_SPIKE
REL-2026-0057,HOSP-LKH-03,Lakeside Hospital,Electronic Health Record Service,v3.2.8,v3.2.7,2026-08-18T18:14:26.747118,MONITORING,FULL_UPGRADE,Sarah Chen (Release Eng),839.7,765.3,9.7,0.4,0.33,0.07,100.0,0.1,9615,9835,2.2,LOW,1,0,0,LOW,CONTINUE,CONTINUE,20.6,4.0,NORMAL_STABLE
REL-2026-0058,HOSP-SMMC-02,St. Mary's Medical Center,Clinical Portal,v4.0.2,v4.0.1,2026-08-13T12:33:54.270724,MONITORING,BLUE_GREEN,Marcus Brody (Clinical SRE),482.6,473.6,1.9,0.24,0.18,0.06,99.82,-0.08,7091,7082,-0.1,LOW,1,1,0,LOW,CONTINUE,CONTINUE,27.1,2.1,NORMAL_STABLE
REL-2026-0059,HOSP-CGH-01,City General Hospital,Pharmacy Management Service,v2.15.7,v2.15.6,2026-08-30T18:49:37.453237,MONITORING,HOTFIX,Elena Rostova (Platform Specialist),628.8,595.4,5.6,0.18,0.15,0.03,99.88,-0.02,14308,14011,-2.1,LOW,1,0,0,LOW,CONTINUE,CONTINUE,19.3,3.5,NORMAL_STABLE
REL-2026-0060,HOSP-GVH-05,Green Valley Hospital,Electronic Health Record Service,v3.13.5,v3.13.4,2026-06-23T23:05:43.509824,ROLLED_BACK,HOTFIX,Elena Rostova (Platform Specialist),718.9,674.2,6.6,0.34,0.32,0.02,99.98,0.08,14710,15240,3.5,LOW,1,1,0,LOW,CONTINUE,CONTINUE,13.5,2.2,NORMAL_STABLE
REL-2026-0061,HOSP-SMMC-02,St. Mary's Medical Center,Laboratory Application,v4.3.6,v4.3.5,2026-08-05T14:04:30.978396,ROLLED_BACK,FULL_UPGRADE,Dr. Alex Rivera (DevOps Lead),837.6,687.7,21.8,2.24,0.71,1.53,98.98,-0.92,25316,28627,11.6,HIGH,1,1,70,HIGH,ROLLBACK RECOMMENDED,HUMAN REVIEW,41.4,6.5,TRANSIENT_SPIKE
REL-2026-0062,HOSP-GVH-05,Green Valley Hospital,Medical Device Integration Service,v3.13.8,v3.13.7,2026-06-10T17:26:50.682221,MONITORING,ROLLING_BATCH,Dr. Alex Rivera (DevOps Lead),846.2,598.8,41.3,2.55,0.55,2.0,98.92,-0.98,5428,5860,7.4,MEDIUM,1,1,50,MEDIUM,HUMAN REVIEW,HUMAN REVIEW,56.1,5.4,TRANSIENT_SPIKE
REL-2026-0063,HOSP-SMMC-02,St. Mary's Medical Center,Electronic Health Record Service,v2.4.0,v2.4.0,2026-08-29T03:23:19.276855,MONITORING,HOTFIX,David Kim (Clinical Systems Analyst),441.2,444.5,-0.7,0.55,0.42,0.13,99.91,0.01,10438,10157,-2.8,LOW,1,0,0,LOW,CONTINUE,CONTINUE,26.1,2.4,NORMAL_STABLE
REL-2026-0064,HOSP-LKH-03,Lakeside Hospital,Pharmacy Management Service,v5.13.4,v5.13.3,2026-08-18T00:04:48.466480,ROLLED_BACK,HOTFIX,Elena Rostova (Platform Specialist),453.9,424.4,7.0,0.21,0.18,0.03,99.81,-0.09,27677,27223,-1.7,MEDIUM,1,0,0,LOW,CONTINUE,CONTINUE,27.8,2.1,NORMAL_STABLE
REL-2026-0065,HOSP-SMMC-02,St. Mary's Medical Center,Electronic Health Record Service,v4.3.0,v4.3.0,2026-07-23T15:38:18.964590,ROLLED_BACK,ROLLING_BATCH,Marcus Brody (Clinical SRE),291.1,284.0,2.5,0.65,0.47,0.18,99.81,-0.09,12923,12540,-3.1,LOW,1,0,0,LOW,CONTINUE,CONTINUE,19.0,3.1,NORMAL_STABLE
